betweeness_centrality,[11 16 13  6]
38,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
39,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
40,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
41,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
42,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
43,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
44,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
45,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
46,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
47,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
48,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
49,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
50,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
51,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
52,"[tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
53,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
54,"[tensor(0.0049, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
55,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
56,"[tensor(0.0049, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
57,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
58,"[tensor(0.0050, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
59,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
60,"[tensor(0.0050, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
61,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
62,"[tensor(0.0050, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
63,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
64,"[tensor(0.0051, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
65,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
66,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
67,"[tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
68,"[tensor(0.0052, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
69,"[tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
70,"[tensor(0.0053, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
71,"[tensor(0.0047, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
72,"[tensor(0.0054, device='cuda:7'), tensor(0.0052, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
73,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0052, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
74,"[tensor(0.0054, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
75,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0052, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
