eigenvector_centrality,[14  8]
11,"[0.2194513715710723, 0.3525, 0.465, 0.495, 0.21, 0.4075, 0.2225, 0.42, 0.19, 0.3225, 0.235, 0.43, 0.225, 0.1025, 0.1425, 0.1775, 0.4625, 0.2275, 0.2725, 0.355, 0.2325, 0.5025, 0.2125, 0.1825, 0.13533834586466165]"
12,"[0.18703241895261846, 0.11, 0.4225, 0.4025, 0.2375, 0.2425, 0.175, 0.495, 0.18, 0.245, 0.105, 0.29, 0.1175, 0.225, 0.2325, 0.23, 0.2575, 0.29, 0.3025, 0.3675, 0.165, 0.3825, 0.22, 0.2075, 0.18045112781954886]"
13,"[0.1571072319201995, 0.2575, 0.3375, 0.2775, 0.1725, 0.215, 0.21, 0.505, 0.1925, 0.2075, 0.2425, 0.2925, 0.2175, 0.0925, 0.14, 0.14, 0.255, 0.1725, 0.2225, 0.25, 0.215, 0.3275, 0.16, 0.1625, 0.12280701754385964]"
14,"[0.18703241895261846, 0.1075, 0.375, 0.17, 0.2725, 0.225, 0.17, 0.445, 0.215, 0.245, 0.1175, 0.2225, 0.1475, 0.22, 0.2325, 0.2325, 0.195, 0.2825, 0.27, 0.27, 0.17, 0.2975, 0.215, 0.2025, 0.19298245614035087]"
15,"[0.17206982543640897, 0.2825, 0.26, 0.2875, 0.2, 0.205, 0.2425, 0.3375, 0.2575, 0.26, 0.2475, 0.3375, 0.2425, 0.095, 0.14, 0.1525, 0.2775, 0.23, 0.2725, 0.265, 0.2525, 0.225, 0.1625, 0.1725, 0.13283208020050125]"
16,"[0.23690773067331672, 0.135, 0.38, 0.17, 0.3075, 0.305, 0.225, 0.315, 0.24, 0.3, 0.135, 0.3025, 0.1525, 0.25, 0.2675, 0.255, 0.2225, 0.2825, 0.34, 0.2675, 0.2, 0.2575, 0.265, 0.225, 0.21553884711779447]"
17,"[0.17955112219451372, 0.3075, 0.2925, 0.3225, 0.22, 0.2625, 0.255, 0.28, 0.285, 0.2675, 0.2475, 0.3975, 0.275, 0.1125, 0.1575, 0.2025, 0.315, 0.2275, 0.2075, 0.2475, 0.2725, 0.265, 0.15, 0.2, 0.14285714285714285]"
18,"[0.26683291770573564, 0.1475, 0.345, 0.205, 0.3125, 0.3075, 0.2125, 0.2575, 0.235, 0.3025, 0.1675, 0.4, 0.23, 0.265, 0.26, 0.285, 0.2425, 0.32, 0.41, 0.3, 0.225, 0.195, 0.28, 0.2425, 0.23558897243107768]"
19,"[0.13466334164588528, 0.31, 0.3975, 0.325, 0.255, 0.285, 0.2575, 0.28, 0.3325, 0.2975, 0.25, 0.4325, 0.2925, 0.2275, 0.21, 0.2625, 0.3325, 0.2925, 0.295, 0.205, 0.2575, 0.305, 0.1275, 0.2075, 0.2506265664160401]"
20,"[0.27680798004987534, 0.1975, 0.3775, 0.23, 0.3525, 0.25, 0.1975, 0.2725, 0.3125, 0.2925, 0.2425, 0.415, 0.2275, 0.295, 0.2675, 0.3, 0.2625, 0.3475, 0.3675, 0.32, 0.245, 0.225, 0.29, 0.2425, 0.23809523809523808]"
21,"[0.18703241895261846, 0.3175, 0.37, 0.325, 0.3025, 0.3125, 0.265, 0.2875, 0.35, 0.3225, 0.26, 0.4525, 0.305, 0.2525, 0.23, 0.3025, 0.3475, 0.335, 0.3275, 0.2225, 0.26, 0.325, 0.1425, 0.1975, 0.2631578947368421]"
22,"[0.28428927680798005, 0.23, 0.375, 0.25, 0.385, 0.2675, 0.21, 0.2975, 0.3025, 0.295, 0.3175, 0.395, 0.2225, 0.315, 0.28, 0.315, 0.3175, 0.3575, 0.3525, 0.35, 0.2425, 0.3425, 0.2875, 0.2525, 0.2581453634085213]"
23,"[0.24189526184538654, 0.32, 0.3475, 0.3275, 0.32, 0.32, 0.2725, 0.2975, 0.34, 0.3525, 0.265, 0.4725, 0.325, 0.3375, 0.2425, 0.2975, 0.3525, 0.36, 0.3525, 0.285, 0.2675, 0.2725, 0.1975, 0.1725, 0.2631578947368421]"
24,"[0.2942643391521197, 0.24, 0.375, 0.2825, 0.39, 0.265, 0.24, 0.31, 0.275, 0.305, 0.34, 0.385, 0.225, 0.3375, 0.2875, 0.33, 0.3275, 0.3825, 0.35, 0.36, 0.255, 0.365, 0.29, 0.2575, 0.2681704260651629]"
25,"[0.314214463840399, 0.32, 0.345, 0.335, 0.3175, 0.325, 0.295, 0.3125, 0.3625, 0.39, 0.28, 0.4975, 0.345, 0.355, 0.3475, 0.2975, 0.3725, 0.395, 0.35, 0.38, 0.2675, 0.27, 0.215, 0.1975, 0.2681704260651629]"
26,"[0.34413965087281795, 0.3125, 0.385, 0.305, 0.435, 0.54, 0.275, 0.41, 0.4375, 0.3125, 0.3425, 0.4025, 0.3175, 0.315, 0.5325, 0.38, 0.2925, 0.405, 0.3325, 0.245, 0.3525, 0.3925, 0.2875, 0.26, 0.3208020050125313]"
27,"[0.314214463840399, 0.315, 0.33, 0.3325, 0.3225, 0.34, 0.3275, 0.34, 0.4975, 0.4225, 0.325, 0.525, 0.3625, 0.4675, 0.535, 0.415, 0.4025, 0.4675, 0.36, 0.435, 0.27, 0.2725, 0.31, 0.2875, 0.2656641604010025]"
28,"[0.34413965087281795, 0.34, 0.3775, 0.3, 0.43, 0.495, 0.265, 0.3775, 0.475, 0.3225, 0.4275, 0.39, 0.25, 0.2875, 0.4275, 0.3725, 0.305, 0.4025, 0.32, 0.25, 0.35, 0.4675, 0.295, 0.27, 0.3233082706766917]"
29,"[0.3541147132169576, 0.3425, 0.4125, 0.345, 0.3975, 0.3075, 0.335, 0.33, 0.2925, 0.315, 0.26, 0.4225, 0.345, 0.3675, 0.5525, 0.3975, 0.37, 0.4475, 0.3725, 0.41, 0.28, 0.29, 0.28, 0.32, 0.2606516290726817]"
30,"[0.3740648379052369, 0.355, 0.4025, 0.27, 0.395, 0.4325, 0.265, 0.3525, 0.5325, 0.3325, 0.355, 0.3625, 0.25, 0.295, 0.2625, 0.3275, 0.38, 0.435, 0.3675, 0.285, 0.3075, 0.4275, 0.305, 0.3125, 0.3132832080200501]"
31,"[0.3516209476309227, 0.3725, 0.4375, 0.36, 0.395, 0.3475, 0.2975, 0.31, 0.325, 0.2425, 0.2725, 0.4025, 0.3325, 0.27, 0.55, 0.38, 0.36, 0.4275, 0.365, 0.36, 0.32, 0.385, 0.255, 0.305, 0.2581453634085213]"
32,"[0.4014962593516209, 0.3375, 0.4075, 0.19, 0.3525, 0.3675, 0.25, 0.2925, 0.5625, 0.3825, 0.3025, 0.4025, 0.205, 0.3775, 0.2425, 0.3975, 0.435, 0.425, 0.42, 0.3675, 0.305, 0.3025, 0.3575, 0.3875, 0.2957393483709273]"
33,"[0.2967581047381546, 0.4075, 0.3825, 0.415, 0.3975, 0.3975, 0.315, 0.37, 0.345, 0.2, 0.345, 0.3475, 0.3525, 0.2, 0.5825, 0.245, 0.2325, 0.4, 0.36, 0.32, 0.345, 0.3575, 0.225, 0.255, 0.2606516290726817]"
34,"[0.4014962593516209, 0.2325, 0.4325, 0.13, 0.35, 0.2975, 0.26, 0.22, 0.5225, 0.4, 0.2475, 0.415, 0.2, 0.455, 0.2575, 0.3725, 0.525, 0.3725, 0.4575, 0.4225, 0.25, 0.3425, 0.3975, 0.4925, 0.2932330827067669]"
35,"[0.20698254364089774, 0.4225, 0.29, 0.47, 0.3925, 0.4, 0.345, 0.3925, 0.35, 0.185, 0.44, 0.2525, 0.485, 0.135, 0.5525, 0.235, 0.255, 0.4, 0.3575, 0.2775, 0.335, 0.3475, 0.2225, 0.1825, 0.24060150375939848]"
36,"[0.40399002493765584, 0.18, 0.4525, 0.0975, 0.33, 0.29, 0.2325, 0.1375, 0.5275, 0.4275, 0.18, 0.4175, 0.2075, 0.425, 0.265, 0.405, 0.4475, 0.265, 0.435, 0.4025, 0.24, 0.3, 0.405, 0.5075, 0.3583959899749373]"
37,"[0.20448877805486285, 0.435, 0.1475, 0.4875, 0.3825, 0.4, 0.355, 0.485, 0.3225, 0.1725, 0.46, 0.225, 0.4875, 0.145, 0.5575, 0.2275, 0.255, 0.42, 0.3475, 0.2075, 0.3375, 0.3325, 0.185, 0.1325, 0.21804511278195488]"
38,"[0.4164588528678304, 0.205, 0.5, 0.09, 0.2625, 0.2475, 0.21, 0.1325, 0.56, 0.4275, 0.1225, 0.41, 0.2075, 0.36, 0.275, 0.3725, 0.3675, 0.1325, 0.265, 0.5425, 0.2225, 0.23, 0.4225, 0.4875, 0.38345864661654133]"
39,"[0.13466334164588528, 0.4275, 0.1525, 0.48, 0.345, 0.375, 0.3475, 0.5175, 0.3275, 0.115, 0.52, 0.2475, 0.4725, 0.1725, 0.56, 0.24, 0.265, 0.4325, 0.35, 0.1925, 0.325, 0.315, 0.17, 0.1275, 0.21804511278195488]"
40,"[0.4114713216957606, 0.17, 0.5075, 0.09, 0.2075, 0.205, 0.2325, 0.1325, 0.5425, 0.4325, 0.12, 0.4175, 0.2175, 0.345, 0.2875, 0.37, 0.2775, 0.095, 0.235, 0.51, 0.1925, 0.2325, 0.4175, 0.455, 0.38095238095238093]"
41,"[0.10723192019950124, 0.375, 0.1425, 0.4175, 0.385, 0.3725, 0.335, 0.5, 0.3325, 0.095, 0.4875, 0.145, 0.4525, 0.1875, 0.5625, 0.2, 0.2425, 0.3575, 0.32, 0.1775, 0.305, 0.215, 0.145, 0.125, 0.22055137844611528]"
42,"[0.371571072319202, 0.1675, 0.515, 0.09, 0.18, 0.2175, 0.2225, 0.1325, 0.51, 0.4125, 0.12, 0.46, 0.2025, 0.3175, 0.2925, 0.3825, 0.19, 0.095, 0.205, 0.4275, 0.185, 0.2425, 0.3725, 0.3825, 0.3609022556390977]"
43,"[0.11221945137157108, 0.3075, 0.1375, 0.39, 0.3375, 0.39, 0.355, 0.475, 0.3575, 0.0925, 0.47, 0.115, 0.43, 0.185, 0.56, 0.105, 0.28, 0.2925, 0.3025, 0.145, 0.26, 0.1975, 0.145, 0.125, 0.19799498746867167]"
44,"[0.26433915211970077, 0.15, 0.4525, 0.09, 0.1625, 0.255, 0.0925, 0.1325, 0.535, 0.4075, 0.1175, 0.4575, 0.185, 0.2725, 0.3025, 0.3875, 0.185, 0.095, 0.1425, 0.37, 0.2225, 0.225, 0.3575, 0.31, 0.3208020050125313]"
45,"[0.12967581047381546, 0.255, 0.1325, 0.325, 0.3225, 0.39, 0.34, 0.4375, 0.36, 0.0875, 0.455, 0.115, 0.3875, 0.18, 0.56, 0.09, 0.315, 0.2875, 0.2675, 0.115, 0.2475, 0.1775, 0.1125, 0.125, 0.15037593984962405]"
46,"[0.18952618453865336, 0.14, 0.3175, 0.0875, 0.16, 0.15, 0.085, 0.13, 0.5525, 0.445, 0.115, 0.3575, 0.1675, 0.2425, 0.3, 0.4475, 0.2, 0.085, 0.1275, 0.39, 0.22, 0.125, 0.33, 0.285, 0.2882205513784461]"
47,"[0.24189526184538654, 0.23, 0.0975, 0.245, 0.3075, 0.4825, 0.3975, 0.3975, 0.3875, 0.0875, 0.3875, 0.115, 0.365, 0.1375, 0.565, 0.0875, 0.13, 0.2625, 0.2025, 0.0875, 0.2275, 0.2025, 0.1025, 0.1225, 0.12531328320802004]"
48,"[0.1745635910224439, 0.1275, 0.265, 0.085, 0.165, 0.1375, 0.0825, 0.1275, 0.4925, 0.3975, 0.115, 0.335, 0.1125, 0.2, 0.3125, 0.4375, 0.3625, 0.0825, 0.19, 0.435, 0.2125, 0.1025, 0.28, 0.2675, 0.2706766917293233]"
49,"[0.256857855361596, 0.235, 0.0775, 0.255, 0.2775, 0.5025, 0.4375, 0.365, 0.435, 0.0875, 0.365, 0.115, 0.45, 0.12, 0.5625, 0.09, 0.1025, 0.2725, 0.1425, 0.0875, 0.2025, 0.33, 0.1025, 0.1225, 0.12280701754385964]"
50,"[0.17955112219451372, 0.115, 0.2525, 0.085, 0.17, 0.1375, 0.08, 0.1225, 0.4925, 0.3575, 0.1125, 0.32, 0.1075, 0.21, 0.3125, 0.43, 0.3325, 0.08, 0.2725, 0.3175, 0.1725, 0.1025, 0.245, 0.26, 0.3258145363408521]"
51,"[0.2119700748129676, 0.2325, 0.0775, 0.3075, 0.2475, 0.4975, 0.42, 0.3925, 0.4, 0.0875, 0.345, 0.115, 0.41, 0.115, 0.5625, 0.1025, 0.1, 0.2575, 0.11, 0.0875, 0.2025, 0.3475, 0.1025, 0.1225, 0.12280701754385964]"
52,"[0.1770573566084788, 0.11, 0.25, 0.085, 0.1625, 0.1425, 0.08, 0.1225, 0.5025, 0.34, 0.12, 0.335, 0.1075, 0.325, 0.325, 0.405, 0.33, 0.0775, 0.2975, 0.31, 0.1175, 0.1025, 0.265, 0.2575, 0.3508771929824561]"
53,"[0.1596009975062344, 0.2275, 0.0775, 0.355, 0.2775, 0.44, 0.4175, 0.43, 0.4525, 0.0875, 0.325, 0.115, 0.37, 0.135, 0.53, 0.1025, 0.1025, 0.27, 0.1125, 0.0875, 0.195, 0.34, 0.1025, 0.1225, 0.12280701754385964]"
54,"[0.17955112219451372, 0.1075, 0.255, 0.09, 0.155, 0.145, 0.0825, 0.1225, 0.515, 0.3225, 0.135, 0.3875, 0.11, 0.315, 0.305, 0.3525, 0.355, 0.0775, 0.315, 0.3025, 0.115, 0.1025, 0.2875, 0.2825, 0.3308270676691729]"
55,"[0.14214463840399003, 0.235, 0.0775, 0.3925, 0.2575, 0.41, 0.395, 0.4325, 0.4525, 0.0875, 0.33, 0.115, 0.355, 0.135, 0.5375, 0.095, 0.1025, 0.265, 0.1075, 0.0875, 0.2, 0.365, 0.1025, 0.1225, 0.12280701754385964]"
56,"[0.16957605985037408, 0.1075, 0.2525, 0.095, 0.1475, 0.145, 0.0825, 0.1225, 0.53, 0.2875, 0.135, 0.4125, 0.11, 0.2925, 0.3225, 0.3225, 0.3525, 0.08, 0.3325, 0.285, 0.11, 0.1025, 0.305, 0.2825, 0.3057644110275689]"
57,"[0.1546134663341646, 0.245, 0.0775, 0.3725, 0.2375, 0.3825, 0.3725, 0.4225, 0.425, 0.0875, 0.3325, 0.115, 0.3275, 0.135, 0.525, 0.095, 0.1025, 0.2825, 0.095, 0.0875, 0.1975, 0.3475, 0.1025, 0.1225, 0.12280701754385964]"
58,"[0.16708229426433915, 0.105, 0.2475, 0.09, 0.1375, 0.14, 0.0825, 0.1225, 0.5275, 0.2625, 0.1325, 0.405, 0.11, 0.285, 0.3425, 0.3275, 0.3825, 0.08, 0.3425, 0.27, 0.1075, 0.1025, 0.295, 0.285, 0.3032581453634085]"
59,"[0.16458852867830423, 0.2475, 0.0775, 0.3425, 0.2425, 0.3725, 0.36, 0.41, 0.4275, 0.0875, 0.305, 0.115, 0.3275, 0.135, 0.525, 0.095, 0.1025, 0.3275, 0.0925, 0.0875, 0.1925, 0.3325, 0.1025, 0.1225, 0.12280701754385964]"
60,"[0.1571072319201995, 0.1, 0.2425, 0.09, 0.1275, 0.135, 0.0825, 0.1225, 0.515, 0.2525, 0.135, 0.395, 0.11, 0.275, 0.365, 0.3, 0.365, 0.08, 0.325, 0.26, 0.11, 0.1025, 0.2875, 0.2925, 0.3358395989974937]"
61,"[0.1770573566084788, 0.2525, 0.0775, 0.3075, 0.225, 0.395, 0.355, 0.3925, 0.3825, 0.0875, 0.2925, 0.115, 0.3175, 0.135, 0.5275, 0.095, 0.1025, 0.3075, 0.0925, 0.0875, 0.2075, 0.2725, 0.1025, 0.1225, 0.12280701754385964]"
62,"[0.1546134663341646, 0.0975, 0.2325, 0.09, 0.12, 0.1325, 0.0825, 0.1225, 0.54, 0.2525, 0.125, 0.355, 0.11, 0.2725, 0.3725, 0.295, 0.3475, 0.08, 0.295, 0.2425, 0.11, 0.1025, 0.3075, 0.3375, 0.3583959899749373]"
63,"[0.17955112219451372, 0.26, 0.0775, 0.26, 0.2025, 0.3875, 0.305, 0.365, 0.3825, 0.0875, 0.2925, 0.115, 0.3125, 0.135, 0.5375, 0.095, 0.105, 0.2775, 0.09, 0.0875, 0.215, 0.2675, 0.1025, 0.1225, 0.12280701754385964]"
64,"[0.1396508728179551, 0.0975, 0.2225, 0.085, 0.11, 0.135, 0.0825, 0.1225, 0.5575, 0.25, 0.1225, 0.3225, 0.1075, 0.26, 0.365, 0.285, 0.3275, 0.08, 0.285, 0.235, 0.11, 0.1025, 0.3375, 0.3725, 0.2957393483709273]"
65,"[0.16458852867830423, 0.2525, 0.0775, 0.2525, 0.2075, 0.395, 0.265, 0.325, 0.3675, 0.0875, 0.2875, 0.115, 0.2975, 0.135, 0.5375, 0.095, 0.105, 0.275, 0.09, 0.0875, 0.2125, 0.26, 0.1025, 0.1225, 0.12280701754385964]"
66,"[0.1396508728179551, 0.0975, 0.2225, 0.0875, 0.11, 0.135, 0.0825, 0.1225, 0.54, 0.235, 0.1225, 0.325, 0.11, 0.255, 0.3925, 0.2825, 0.3225, 0.08, 0.2925, 0.2325, 0.11, 0.1025, 0.3575, 0.355, 0.2907268170426065]"
67,"[0.16458852867830423, 0.2525, 0.08, 0.2425, 0.1925, 0.4075, 0.2575, 0.325, 0.37, 0.0875, 0.2775, 0.115, 0.2825, 0.135, 0.5525, 0.095, 0.105, 0.2675, 0.09, 0.0875, 0.2175, 0.2625, 0.1025, 0.1225, 0.12280701754385964]"
68,"[0.1396508728179551, 0.0975, 0.2275, 0.085, 0.1075, 0.135, 0.0825, 0.1225, 0.54, 0.23, 0.1225, 0.3, 0.11, 0.2525, 0.39, 0.2825, 0.31, 0.08, 0.2925, 0.235, 0.11, 0.1025, 0.3775, 0.3525, 0.2807017543859649]"
69,"[0.1596009975062344, 0.2675, 0.08, 0.24, 0.175, 0.3975, 0.2425, 0.3125, 0.3775, 0.0875, 0.27, 0.115, 0.2725, 0.135, 0.5625, 0.095, 0.105, 0.2625, 0.0925, 0.0875, 0.2325, 0.2575, 0.1025, 0.1225, 0.12280701754385964]"
70,"[0.12718204488778054, 0.0975, 0.2225, 0.085, 0.1075, 0.135, 0.0825, 0.1225, 0.53, 0.2325, 0.1175, 0.2825, 0.11, 0.25, 0.395, 0.2825, 0.3025, 0.08, 0.2725, 0.2275, 0.11, 0.1025, 0.3625, 0.305, 0.2731829573934837]"
71,"[0.18453865336658354, 0.28, 0.08, 0.2425, 0.17, 0.3625, 0.2375, 0.3025, 0.4, 0.0875, 0.2775, 0.115, 0.28, 0.135, 0.565, 0.1, 0.105, 0.265, 0.0925, 0.0875, 0.2525, 0.2425, 0.1025, 0.1225, 0.12280701754385964]"
72,"[0.12468827930174564, 0.0975, 0.225, 0.0875, 0.1075, 0.135, 0.0825, 0.1225, 0.5575, 0.23, 0.12, 0.27, 0.11, 0.245, 0.4075, 0.28, 0.305, 0.08, 0.275, 0.2125, 0.11, 0.1025, 0.3225, 0.315, 0.2756892230576441]"
73,"[0.16458852867830423, 0.305, 0.08, 0.2325, 0.165, 0.32, 0.2375, 0.3025, 0.39, 0.0875, 0.26, 0.115, 0.2725, 0.135, 0.5725, 0.1, 0.105, 0.2475, 0.0925, 0.0875, 0.2575, 0.2425, 0.1025, 0.1225, 0.12280701754385964]"
74,"[0.12468827930174564, 0.0975, 0.215, 0.0875, 0.1125, 0.135, 0.0825, 0.1225, 0.5675, 0.23, 0.12, 0.265, 0.11, 0.24, 0.42, 0.2675, 0.31, 0.08, 0.265, 0.21, 0.11, 0.1025, 0.3225, 0.3125, 0.2606516290726817]"
75,"[0.16458852867830423, 0.31, 0.0825, 0.23, 0.175, 0.3275, 0.2375, 0.28, 0.3825, 0.0875, 0.275, 0.115, 0.255, 0.1325, 0.5675, 0.1, 0.105, 0.2525, 0.0925, 0.0875, 0.275, 0.245, 0.1025, 0.125, 0.12280701754385964]"
76,"[0.13216957605985039, 0.1, 0.2075, 0.09, 0.1225, 0.1325, 0.0825, 0.1225, 0.5625, 0.2225, 0.12, 0.265, 0.11, 0.245, 0.41, 0.2575, 0.305, 0.08, 0.27, 0.2075, 0.11, 0.1025, 0.315, 0.3025, 0.2531328320802005]"
77,"[0.16209476309226933, 0.2925, 0.0925, 0.2375, 0.1875, 0.3125, 0.2225, 0.2675, 0.4375, 0.0875, 0.2425, 0.115, 0.235, 0.13, 0.575, 0.1, 0.105, 0.2525, 0.0925, 0.0875, 0.285, 0.2425, 0.1025, 0.125, 0.12030075187969924]"
78,"[0.1396508728179551, 0.1025, 0.215, 0.09, 0.125, 0.1375, 0.0825, 0.1225, 0.5225, 0.2125, 0.1225, 0.2575, 0.11, 0.2475, 0.39, 0.25, 0.295, 0.08, 0.2675, 0.2025, 0.11, 0.1025, 0.315, 0.3, 0.2581453634085213]"
79,"[0.1596009975062344, 0.29, 0.0975, 0.235, 0.195, 0.3025, 0.21, 0.2825, 0.45, 0.0875, 0.2325, 0.1175, 0.2325, 0.1325, 0.545, 0.1075, 0.105, 0.2525, 0.0925, 0.0875, 0.285, 0.2475, 0.1025, 0.125, 0.12030075187969924]"
80,"[0.14214463840399003, 0.105, 0.2125, 0.0925, 0.135, 0.1425, 0.085, 0.1225, 0.45, 0.195, 0.1275, 0.2575, 0.11, 0.2425, 0.3825, 0.2375, 0.2975, 0.08, 0.265, 0.195, 0.1075, 0.1025, 0.33, 0.31, 0.24561403508771928]"
81,"[0.16708229426433915, 0.295, 0.0975, 0.235, 0.195, 0.3175, 0.215, 0.3075, 0.485, 0.0875, 0.2375, 0.1175, 0.2375, 0.135, 0.5325, 0.1175, 0.105, 0.265, 0.0925, 0.0875, 0.2725, 0.245, 0.1025, 0.125, 0.12030075187969924]"
82,"[0.15211970074812967, 0.1075, 0.205, 0.0925, 0.135, 0.1525, 0.085, 0.1225, 0.4725, 0.2, 0.1275, 0.2625, 0.11, 0.24, 0.3775, 0.2375, 0.305, 0.08, 0.2625, 0.195, 0.1075, 0.1, 0.3475, 0.3275, 0.24812030075187969]"
83,"[0.16957605985037408, 0.295, 0.1025, 0.23, 0.1925, 0.33, 0.2175, 0.305, 0.4675, 0.09, 0.23, 0.12, 0.2375, 0.1375, 0.525, 0.1225, 0.105, 0.27, 0.0925, 0.0875, 0.2825, 0.2475, 0.1025, 0.125, 0.12280701754385964]"
84,"[0.1546134663341646, 0.11, 0.21, 0.1, 0.14, 0.16, 0.085, 0.12, 0.4775, 0.2, 0.1325, 0.275, 0.11, 0.2375, 0.3825, 0.2375, 0.3025, 0.08, 0.2625, 0.2, 0.1075, 0.1, 0.3475, 0.3325, 0.24310776942355888]"
85,"[0.16957605985037408, 0.295, 0.105, 0.2275, 0.2175, 0.32, 0.22, 0.3025, 0.455, 0.09, 0.2275, 0.12, 0.2375, 0.14, 0.5075, 0.13, 0.105, 0.2725, 0.0925, 0.0925, 0.2725, 0.2625, 0.1025, 0.125, 0.12280701754385964]"
86,"[0.1571072319201995, 0.12, 0.2025, 0.1, 0.145, 0.1675, 0.085, 0.12, 0.4725, 0.2025, 0.1325, 0.275, 0.11, 0.2325, 0.42, 0.235, 0.305, 0.08, 0.26, 0.195, 0.1075, 0.1, 0.35, 0.345, 0.24561403508771928]"
87,"[0.17206982543640897, 0.2825, 0.105, 0.245, 0.2125, 0.3425, 0.23, 0.3075, 0.465, 0.09, 0.2275, 0.12, 0.23, 0.1425, 0.495, 0.1275, 0.105, 0.2925, 0.095, 0.0925, 0.26, 0.28, 0.1025, 0.125, 0.12280701754385964]"
88,"[0.1596009975062344, 0.1275, 0.2075, 0.1, 0.145, 0.1825, 0.0875, 0.12, 0.46, 0.205, 0.1325, 0.2925, 0.1125, 0.235, 0.345, 0.235, 0.305, 0.08, 0.2625, 0.2025, 0.1075, 0.1025, 0.345, 0.3475, 0.24812030075187969]"
89,"[0.1745635910224439, 0.275, 0.11, 0.24, 0.2275, 0.345, 0.2325, 0.3125, 0.4475, 0.09, 0.2225, 0.12, 0.2425, 0.145, 0.4775, 0.135, 0.105, 0.2925, 0.0975, 0.0925, 0.245, 0.285, 0.105, 0.125, 0.12531328320802004]"
90,"[0.16708229426433915, 0.13, 0.205, 0.1025, 0.145, 0.195, 0.0875, 0.1225, 0.4675, 0.2125, 0.1375, 0.2875, 0.1125, 0.24, 0.465, 0.24, 0.315, 0.08, 0.27, 0.2025, 0.1125, 0.1, 0.3475, 0.355, 0.2531328320802005]"
