eigenvector_centrality,[14 16  9  3]
38,"[tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3')]"
39,"[tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0045, device='cuda:3')]"
40,"[tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3')]"
41,"[tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0045, device='cuda:3')]"
42,"[tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3')]"
43,"[tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3')]"
44,"[tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3')]"
45,"[tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3')]"
46,"[tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0042, device='cuda:3')]"
47,"[tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0044, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0041, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0042, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3'), tensor(0.0043, device='cuda:3')]"
