betweeness_centrality,[15  9 10 14]
90,"[tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0053, device='cuda:2')]"
91,"[tensor(0.0053, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0071, device='cuda:2'), tensor(0.0061, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
92,"[tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0054, device='cuda:2')]"
93,"[tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
94,"[tensor(0.0046, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0062, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0055, device='cuda:2')]"
95,"[tensor(0.0055, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0070, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
96,"[tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0054, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0059, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0056, device='cuda:2'), tensor(0.0054, device='cuda:2')]"
97,"[tensor(0.0054, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0069, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
98,"[tensor(0.0046, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0045, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0063, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0060, device='cuda:2'), tensor(0.0046, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0055, device='cuda:2')]"
99,"[tensor(0.0055, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0050, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0055, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0053, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0051, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0049, device='cuda:2'), tensor(0.0052, device='cuda:2'), tensor(0.0068, device='cuda:2'), tensor(0.0057, device='cuda:2'), tensor(0.0048, device='cuda:2'), tensor(0.0058, device='cuda:2'), tensor(0.0047, device='cuda:2'), tensor(0.0047, device='cuda:2')]"
